1af7 m  -67.5 1091.2    0.0
1bmb m  -65.4  854.9  506.2
1jsg d  -64.8  794.4  203.9
1aoh m  -64.7  652.0   44.1
1bkz m  -64.2  742.2  244.0
1aua m  -63.9  720.2  290.4
1ps1 m  -61.3  910.4  305.2
1np4 m  -60.7  729.4  344.6
3sil m  -59.8  595.9    0.0
1pjr m  -59.3  832.2    0.0
1xgs m  -57.2 1175.6  849.2
1kfs m  -57.1 1322.5    0.0
1af5 d  -56.8  856.1  500.9
1kwa m  -56.0  583.4  124.6
1xso d  -54.2  681.8  285.2
1iae m  -53.8  393.4    0.0
1mh1 m  -52.9  429.1   37.9
1pgs m  -52.1  491.3  213.7
1be0 m  -48.8  608.2    0.0
2end m  -48.8  618.7    0.0
1djx m  -48.0  836.6  236.9
1cki m  -47.8 1698.3  772.5
2pth m  -47.1  506.2    0.0
1rhs m  -44.3  594.7    0.0
1lrv m  -42.2  755.8  255.6
1vjw m  -41.0  472.2    0.0
1amj m  -40.5  557.8  113.0
232l m  -39.8  730.6  340.6
1fsu m  -39.7  521.3    0.0
1bwz m  -39.2  678.6    4.6
1nuc m  -39.2  581.0    0.0
1inp m  -39.1  756.0    0.0
1mpg m  -38.1  989.7  247.0
1cp2 d  -37.1  951.8  616.9
1ah7 m  -36.5  952.0  441.1
1bry m  -35.5  453.7   66.8
1aun m  -35.4  512.9    0.0
1ayi m  -35.2  493.4    0.1
1ayl m  -34.2  910.6  417.0
1auo d  -33.8  666.3  181.1
1a19 m  -33.5  507.7  238.9
1ips m  -33.3  875.9  338.2
2acy m  -33.0  541.1  137.3
1uch m  -32.2  384.5    0.0
1a8o m  -31.5  488.9  194.8
1bc2 m  -31.3  643.3    0.0
1uro m  -31.0 1179.6  688.7
1ema m  -30.9  405.6    0.0
3cms m  -30.4  547.1    0.0
1kba d  -29.7  620.5  129.8
2mhr m  -29.3  322.4    0.0
1am6 m  -29.1  413.4    0.0
1slt d  -28.9  546.7  190.1
1dff m  -28.8  462.8   33.0
2ihl m  -27.2  709.6  455.2
1akz m  -26.5  581.4    0.0
1mdt m  -26.5  562.7  191.9
1a6q m  -26.3  557.1    0.0
2mbr m  -26.3  749.0  244.9
1gci m  -25.6  389.4    0.0
1zin m  -25.5  560.8    0.0
2cy3 m  -24.6  221.0    0.0
1dmr m  -24.2  771.6    0.0
2fgf m  -21.5  396.9    0.0
1ctj m  -21.3  381.1    0.3
2gpr m  -20.7  791.5    0.0
1a0k m  -20.4  424.5    0.0
1ops m  -18.3  354.5    0.0
1bgc m  -17.5  600.8    0.1
1pmi m  -16.9  617.5    0.0
16pk m  -16.0  417.8    0.0
1ahq m  -14.2  472.6    0.0
1eso m  -13.8  390.1    0.0
1flp m  -13.2  288.9    0.0
1fdr m  -12.6  426.6    0.0
1bu1 m  -12.0  469.8  154.4
3dfr m  -11.3  373.4    0.0
1afk m   -9.7  292.4    6.0
1esf m   -8.6  517.4  160.6
1mb1 m   -7.9  414.4    0.0
5cp4 m   -4.0  706.3    0.0
8paz m   -3.1  521.5    0.0
1kpt m   -3.0  431.7  192.9
1pda m   -2.3  890.6  112.7
1c3d m   -1.2  650.0    0.0
1bg0 m   -1.1  601.2    0.0
1aay m    0.0  966.3  452.5
2rn2 m    2.3  613.6    0.0
1bp1 m    3.2  802.8   70.5
2bls m    3.4  708.3   92.4
1bea m    8.3  534.2   19.3
1bn8 m    9.1  321.1    0.0
1yge m   11.8  402.5    0.0
1ppo m   12.7  845.6   78.8
2abx m   33.6  543.9    0.0
1rgp m   68.8  509.2    0.0
